,property_type,state,region,lat,lon,area_m2,price_brl
1,apartment,Pernambuco,Northeast,-8.134204,-34.906326,72,414222.98
2,apartment,Pernambuco,Northeast,-8.1266642,-34.903924,136,848408.53
3,apartment,Pernambuco,Northeast,-8.1255503,-34.907601,75,299438.28
4,apartment,Pernambuco,Northeast,-8.1202489,-34.89592,187,848408.53
5,apartment,Pernambuco,Northeast,-8.142666,-34.906906,80,464129.36
6,apartment,Pernambuco,Northeast,-8.1376709,-34.913349,94,294447.66
7,apartment,Pernambuco,Northeast,-8.1415992,-34.909179,80,314410.19
8,apartment,Pernambuco,Northeast,-8.1273367,-34.902712,54,419213.6
9,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,,349344.66
10,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63,449157.45
11,apartment,Pernambuco,Northeast,-8.1267642,-34.903425,105,548970.21
12,apartment,Pernambuco,Northeast,-8.1109179,-34.898785,88,369307.22
13,apartment,Pernambuco,Northeast,-8.140095,-34.90444,167,998127.67
14,apartment,Pernambuco,Northeast,-8.1272168,-34.89868,170,848408.53
15,apartment,Pernambuco,Northeast,-8.1170788,-34.899475,,419213.6
16,apartment,Pernambuco,Northeast,-8.1411081,-34.90887,64,339363.39
17,apartment,Pernambuco,Northeast,-8.1205721,-34.900301,81,369307.22
18,apartment,Pernambuco,Northeast,-8.1255503,-34.907601,72,359325.95
19,apartment,Pernambuco,Northeast,-8.1311923,-34.905777,83,389269.77
20,apartment,Pernambuco,Northeast,-8.1286491,-34.906648,,399251.07
21,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63,329382.13
22,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73,399251.07
23,apartment,Pernambuco,Northeast,-8.1381022,-34.904297,88,479101.27
24,apartment,Pernambuco,Northeast,-8.1135593,-34.899778,109,289457.01
25,apartment,Pernambuco,Northeast,-8.1201808,-34.901596,80,379288.51
26,apartment,Pernambuco,Northeast,-8.1421058,-34.906731,104,568932.77
27,apartment,Pernambuco,Northeast,-8.1260517,-34.902553,73,349344.66
28,apartment,Pernambuco,Northeast,-8.1384551,-34.909165,69,394260.42
29,apartment,Pernambuco,Northeast,-8.1211048,-34.907255,90,379288.51
30,apartment,Pernambuco,Northeast,-8.1100714,-34.893698,183,1522144.71
31,apartment,Pernambuco,Northeast,-8.126948,-34.905159,98,598876.59
32,apartment,Pernambuco,Northeast,-8.108315,-34.898277,,1427322.56
33,apartment,Pernambuco,Northeast,-8.109441,-34.898106,130,908296.17
34,apartment,Pernambuco,Northeast,-8.109441,-34.898106,,628820.41
35,apartment,Pernambuco,Northeast,-8.109441,-34.898106,128,958202.55
36,apartment,Pernambuco,Northeast,-8.109441,-34.898106,130,778539.59
37,apartment,Pernambuco,Northeast,-8.109441,-34.898106,100,718651.91
38,apartment,Pernambuco,Northeast,-8.109441,-34.898106,128,938240.02
39,apartment,Pernambuco,Northeast,-8.046015,-34.910507,55,369307.22
40,apartment,Pernambuco,Northeast,-8.086438,-34.89069,,444166.8
41,apartment,Pernambuco,Northeast,-8.0415623,-34.9416901,60,309419.57
42,apartment,Pernambuco,Northeast,-8.040035,-34.899654,182,1497191.5
43,apartment,Pernambuco,Northeast,-8.046015,-34.910507,55,389269.77
44,apartment,Pernambuco,Northeast,-8.056418,-34.909309,133,873361.7
45,apartment,Pernambuco,Northeast,-8.033291,-34.898014,113,918277.46
46,apartment,Pernambuco,Northeast,-8.048381,-34.908379,123,798502.15
47,apartment,Pernambuco,Northeast,-8.02765,-34.920338,105,828445.97
48,apartment,Pernambuco,Northeast,-8.0332786,-34.9069915,,798502.15
49,apartment,Pernambuco,Northeast,-8.0332786,-34.9069915,180,798502.15
50,apartment,Pernambuco,Northeast,-8.094985,-34.892761,160,1497191.5
51,apartment,Pernambuco,Northeast,-8.021971,-34.931366,,948221.29
52,apartment,Pernambuco,Northeast,-8.0330615,-34.8950223,160,1247659.6
53,apartment,Pernambuco,Northeast,-8.03145,-34.917198,55,239550.63
54,apartment,Pernambuco,Northeast,-8.126271,-34.903793,240,998127.67
55,apartment,Pernambuco,Northeast,-8.0288008,-34.9190997,155,988146.4
56,apartment,Pernambuco,Northeast,-8.027162,-34.913445,117,638801.71
57,apartment,Pernambuco,Northeast,-8.0124263,-34.9074499,238,1048034.05
58,apartment,Pernambuco,Northeast,-8.048381,-34.908379,167,598876.59
59,apartment,Pernambuco,Northeast,-8.085706,-34.890419,71,379288.51
60,apartment,Pernambuco,Northeast,-8.032375,-34.906925,,429194.89
61,apartment,Pernambuco,Northeast,-8.032375,-34.906925,61,449157.45
62,house,Pernambuco,Northeast,-8.027666,-34.881813,160,578914.03
63,apartment,Pernambuco,Northeast,-8.040233,-34.898281,82,529007.65
64,apartment,Pernambuco,Northeast,-8.035595,-34.921719,,1397378.74
65,apartment,Pernambuco,Northeast,-8.0295901,-34.909819,210,808483.41
66,apartment,Pernambuco,Northeast,-8.048997,-34.91011,175,798502.15
67,apartment,Pernambuco,Northeast,-8.027162,-34.913445,62,359325.95
68,apartment,Pernambuco,Northeast,-8.027162,-34.913445,62,369307.22
69,apartment,Pernambuco,Northeast,-8.027162,-34.913445,,349344.66
70,apartment,Pernambuco,Northeast,-8.021971,-34.931366,150,998127.67
71,apartment,Pernambuco,Northeast,-8.047531,-34.9142641,,314410.19
72,apartment,Pernambuco,Northeast,-8.0294182,-34.9243177,240,1597004.3
73,apartment,Pernambuco,Northeast,-8.021971,-34.931366,204,1097940.43
74,apartment,Pernambuco,Northeast,-8.149876,-34.910686,78,299438.28
75,apartment,Pernambuco,Northeast,-8.035618,-34.89333,149,1096942.3
76,apartment,Pernambuco,Northeast,-8.037489,-34.89537,80,439176.16
77,apartment,Pernambuco,Northeast,-8.027162,-34.913445,79,474110.62
78,house,Pernambuco,Northeast,-8.0356845,-34.9234524,238,1447285.12
79,apartment,Pernambuco,Northeast,-8.116955,-34.896206,128,743605.12
80,apartment,Pernambuco,Northeast,-8.117513,-34.899639,129,758577.03
81,apartment,Pernambuco,Northeast,-8.117513,-34.899639,129,1048034.05
82,apartment,Pernambuco,Northeast,-8.034344,-34.896725,67,439176.16
83,apartment,Pernambuco,Northeast,-8.035971,-34.895073,135,848408.53
84,apartment,Pernambuco,Northeast,-8.126271,-34.903793,,978165.11
85,apartment,Pernambuco,Northeast,-8.125065,-34.906685,70,429194.89
86,apartment,Pernambuco,Northeast,-8.032252,-34.893612,134,678726.79
87,apartment,Pernambuco,Northeast,-8.041807,-34.894043,105,558951.47
88,apartment,Pernambuco,Northeast,-8.119507,-34.895363,200,1097940.43
89,apartment,Pernambuco,Northeast,-8.183491,-34.921719,148,588895.33
90,apartment,Pernambuco,Northeast,-8.183491,-34.921719,238,748595.73
91,apartment,Pernambuco,Northeast,-8.103477,-34.888622,140,948221.29
92,apartment,Pernambuco,Northeast,-8.2027839,-34.9170501,58,279475.72
93,apartment,Pernambuco,Northeast,-8.0584269,-34.8834188,118,279475.72
94,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203,1349987.64
95,apartment,Pernambuco,Northeast,-8.183698,-34.931366,53,364316.6
96,apartment,Pernambuco,Northeast,-8.1423048,-34.9096799,,329382.13
97,apartment,Pernambuco,Northeast,-8.1440884,-34.908476,75,449157.45
98,apartment,Pernambuco,Northeast,-8.108721,-34.897616,101,598876.59
99,apartment,Pernambuco,Northeast,-8.027162,-34.913445,58,319400.84
100,apartment,Pernambuco,Northeast,-8.1431534,-34.904241,,648782.97
101,apartment,Pernambuco,Northeast,-8.1404559,-34.907893,94,299438.28
102,apartment,Pernambuco,Northeast,-8.1098693,-34.897672,,299438.28
103,apartment,Pernambuco,Northeast,-8.1098693,-34.897672,,319400.84
104,apartment,Pernambuco,Northeast,-8.040233,-34.898281,,648782.97
105,apartment,Pernambuco,Northeast,-8.02765,-34.920338,64,359325.95
106,apartment,Pernambuco,Northeast,-8.192952,-34.931366,64,239550.63
107,apartment,Pernambuco,Northeast,-8.152399,-34.920338,148,648782.97
108,apartment,Pernambuco,Northeast,-8.1869427,-35.5808245,,259513.19
109,apartment,Pernambuco,Northeast,-8.041209,-34.895039,94,399251.07
110,apartment,Pernambuco,Northeast,-8.0347457,-34.8972145,128,738614.47
111,apartment,Pernambuco,Northeast,-8.035595,-34.921719,216,1497191.5
112,apartment,Pernambuco,Northeast,-8.129817,-34.914825,135,698689.35
113,apartment,Pernambuco,Northeast,-8.109441,-34.898106,130,698689.35
114,apartment,Pernambuco,Northeast,-8.1230628,-34.903959,,489082.54
115,apartment,Pernambuco,Northeast,-8.0331805,-34.8968813,,964534.63
