,property_type,state,lat,lon,area_m2,price_usd
1,house,Estado de México,19.560181,-99.233528,150,67965.56
2,house,Nuevo León,25.6884355,-100.1988071,186,63223.78
3,apartment,Guerrero,16.767704,-99.764383,82,84298.37
4,apartment,Guerrero,16.829782,-99.911012,150,94308.8
5,house,Yucatán,21.05258302,-89.53863859,205,105191.37
6,apartment,Nuevo León,25.721081,-100.345581,72,68421.05
7,house,Morelos,23.634501,-102.552788,360,278947.37
8,apartment,Estado de México,19.2720402,-99.572013,85,65789.47
9,house,San Luis Potosí,22.13888212,-100.9965101,158,111578.95
10,apartment,Distrito Federal,19.394558,-99.129707,65,39904.74
11,house,Veracruz de Ignacio de la Llave,19.1680666,-96.160663,100,35263.16
12,apartment,Distrito Federal,19.3261963,-99.14058611,74,157368.42
13,house,Yucatán,21.0552216,-89.6583682,220,112473.68
14,house,Chihuahua,28.691416,-106.13604,236,110526.32
15,apartment,Jalisco,20.641428,-103.417295,85,88947.37
16,house,San Luis Potosí,22.126078,-100.944672,131,55000
17,house,Puebla,19.03642362,-98.19941841,337,163157.89
18,apartment,Distrito Federal,19.367239,-99.186126,92,184210.53
19,apartment,Guerrero,16.851935,-99.844955,195,105263.16
20,house,Veracruz de Ignacio de la Llave,19.153019,-96.12487,207,144736.84
21,house,Nuevo León,25.75013289,-100.2701137,280,104736.84
22,apartment,Estado de México,19.536253,-99.240456,99,65789.47
23,house,Chiapas,19.673779,-101.187927,210,136842.11
24,house,Baja California,32.4690603,-116.8196303,111,71911.21
25,house,Yucatán,21.030771,-89.646347,150,63157.89
26,house,Chiapas,16.717077,-93.162903,170,94736.84
27,house,Morelos,18.813908,-99.201675,86,52631.58
28,apartment,Distrito Federal,19.473001,-99.087491,79,35841.58
29,house,Yucatán,21.072905,-89.65963,190,97368.42
30,house,Querétaro,20.618279,-100.346985,237,157894.74
31,house,Yucatán,21.075163,-89.516731,300,115263.16
32,house,Guerrero,16.86597275,-99.87171739,300,131578.95
33,house,Veracruz de Ignacio de la Llave,25.582705,-103.376805,232,81578.95
34,house,Yucatán,21.017197,-89.574516,220,92105.26
35,house,Hidalgo,20.036614,-98.77615,295,94736.84
36,house,Yucatán,21.0399331,-89.5965747,240,99473.68
37,house,Morelos,18.893921,-99.221429,160,150000
38,house,Veracruz de Ignacio de la Llave,25.545829,-103.38708,115,57894.74
39,house,Quintana Roo,21.139086,-86.84964,290,118421.05
40,house,Chiapas,19.681248,-101.209167,180,71052.63
41,apartment,Distrito Federal,19.271467,-99.146309,98,130842.11
42,house,Chiapas,19.724886,-101.118018,120,73684.21
43,house,Estado de México,19.420156,-99.249458,378,321052.63
44,house,Guanajuato,20.684505,-101.406695,280,189473.68
45,house,Puebla,18.984862,-98.222234,299,231578.95
46,house,Distrito Federal,19.289286,-99.158066,140,124210.53
47,house,San Luis Potosí,22.150696,-101.010025,172,81052.63
48,apartment,Distrito Federal,19.444924,-99.139843,60,46280.68
49,house,Tabasco,18.017324,-92.899362,98,36842.11
50,house,Puebla,19.014643,-98.170731,286,260526.32
51,house,Tamaulipas,22.258686,-97.851753,163,105263.16
52,house,Distrito Federal,19.378482,-99.220795,100,201061.21
53,house,Morelos,18.93409,-99.254997,240,178947.37
54,house,Yucatán,21.0315095,-89.600513,325,186842.11
55,apartment,Yucatán,21.072905,-89.65963,190,184210.53
56,apartment,Morelos,18.923538,-99.241848,110,57894.74
57,house,Querétaro,20.681293,-100.329622,155,97368.42
58,house,Morelos,18.821062,-98.949371,120,69473.68
59,apartment,Guerrero,16.8531086,-99.8236533,141,121052.63
60,apartment,Puebla,19.049024,-98.281669,127,88947.37
61,house,Tamaulipas,22.34005336,-97.88609952,165,89473.68
62,house,Morelos,18.862602,-99.213448,145,97368.42
63,apartment,Yucatán,21.018724,-89.589836,60,47105.26
64,house,Jalisco,20.569456,-103.50165,176,123684.21
65,apartment,Distrito Federal,19.3934457,-99.1796926,100,279193.58
66,apartment,Distrito Federal,19.436024,-99.15461,64,236842.11
67,apartment,Distrito Federal,19.378009,-99.193543,180,78189.47
68,apartment,Distrito Federal,19.416294,-99.16748,117,289421.05
69,house,Morelos,18.859078,-99.176287,82,40000
70,house,Querétaro,20.692161,-100.465025,258,147368.42
71,house,Querétaro,20.394361,-99.973053,120,73684.21
72,house,Baja California,32.453504,-117.038495,111,71911.21
73,house,Tabasco,23.634501,-102.552788,82,44736.84
74,house,Estado de México,19.619862,-99.146996,75,37037.11
75,house,Hidalgo,20.059035,-98.790359,240,142105.26
76,house,Estado de México,19.468129,-99.04049,86,42807.63
77,house,Yucatán,21.0424858,-89.5568382,200,91315.79
78,house,Guerrero,16.758369,-99.768737,136,134715.79
79,house,Nuevo León,25.6315927,-100.1953926,90,43157.89
80,apartment,Quintana Roo,21.15958774,-86.82220861,145,166315.79
81,apartment,Guerrero,16.860338,-99.870399,250,100000
82,apartment,Guerrero,16.86656582,-99.88082886,108,51578.95
83,apartment,Jalisco,20.685983,-103.447155,64,77368.42
84,house,Yucatán,21.0751632,-89.5167298,252,103945.63
85,apartment,Distrito Federal,19.376822,-99.174675,114,233473.68
86,apartment,Puebla,19.0303511,-98.3143192,102,97368.42
87,house,Distrito Federal,19.433274,-99.210758,304,231478.95
88,apartment,Distrito Federal,19.394358,-99.177444,100,229400
89,house,Yucatán,21.039522,-89.563911,146,76315.79
90,house,Morelos,18.8954874,-99.1732936,154,93684.21
91,house,Puebla,18.984862,-98.222234,289,226315.79
92,house,Yucatán,21.072905,-89.65963,90,63157.89
93,house,Morelos,18.813908,-99.201675,67,34210.53
94,house,Jalisco,20.424117,-103.29756,299,163157.89
95,house,Yucatán,21.0381057,-89.5933722,182,105000
96,house,Estado de México,19.28283025,-99.56667352,267,157894.74
97,house,Chihuahua,28.6464221,-106.0860628,233,155263.16
98,apartment,Estado de México,19.5652097,-99.2646998,87,97368.42
99,house,Estado de México,19.284855,-98.950752,80,69473.68
100,house,Nayarit,20.70506,-105.269812,101,65789.47
101,house,Distrito Federal,19.2753576,-99.1675547,370,263157.89
102,apartment,Veracruz de Ignacio de la Llave,19.137135,-96.112946,110,57894.74
103,house,Jalisco,20.675995,-103.420837,220,213157.89
104,house,Tamaulipas,22.3151894,-97.8573594,318,47368.42
105,apartment,Distrito Federal,19.436404,-99.173617,70,90014.95
106,house,Quintana Roo,21.095711,-86.869343,147,98368.42
107,house,Baja California,32.509445,-116.985857,104,78947.37
108,house,Jalisco,20.616705,-103.413612,105,65789.47
109,house,Sinaloa,23.215713,-106.418182,315,252631.58
110,house,Yucatán,21.039522,-89.563911,277,147368.42
111,house,Yucatán,21.072905,-89.65963,240,122894.74
112,house,Yucatán,21.072905,-89.65963,201,75210.53
113,apartment,Yucatán,21.015982,-89.705116,172,176315.79
114,apartment,San Luis Potosí,22.12590752,-100.9865534,103,53684.21
115,house,Querétaro,20.547674,-100.394761,110,51578.95
116,apartment,Jalisco,20.677448,-103.400405,135,236842.11
117,house,Veracruz de Ignacio de la Llave,20.9638852,-97.4124504,88,44736.84
118,apartment,Distrito Federal,19.4034054,-99.1825418,120,209311.05
119,house,Querétaro,20.3951106,-99.9856344,180,73684.21
120,house,Estado de México,19.536936,-99.22732,270,184210.53
121,apartment,Distrito Federal,19.453142,-99.180214,68,52631.58
122,house,Veracruz de Ignacio de la Llave,19.14966827,-96.12028599,150,71052.63
123,house,Distrito Federal,19.3434214,-99.1294848,280,314736.84
124,house,Hidalgo,20.099826,-98.772656,140,51842.11
125,house,Distrito Federal,19.473623,-99.124863,147,122419.26
126,apartment,Querétaro,20.5835963,-100.3729496,144,160263.16
127,house,Puebla,23.634501,-102.552788,173,139473.68
128,house,Querétaro,20.58787576,-100.446496,111,69684.21
129,house,Colima,19.232695,-103.696887,189,63157.89
130,apartment,Baja California,32.440475,-116.983772,70,36263.16
131,house,Veracruz de Ignacio de la Llave,19.513165,-96.898109,130,118421.05
132,house,Hidalgo,23.634501,-102.552784,140,78947.37
133,house,Chihuahua,28.6983446,-106.0940375,350,231578.95
134,house,Sinaloa,24.770091,-107.444782,155,76315.79
135,house,Tamaulipas,26.078394,-98.325452,80,44736.84
136,house,Sonora,28.95479589,-111.0455946,206,86842.11
137,house,Nuevo León,25.626854,-100.188538,170,78947.37
138,house,Querétaro,20.662301,-100.441093,235,131578.95
139,apartment,Quintana Roo,21.04980598,-86.85358784,178,205578.95
140,house,Chiapas,16.740425,-93.12841,170,94736.84
141,apartment,Distrito Federal,19.395097,-99.150424,65,53102.79
142,apartment,Morelos,18.960824,-99.268107,92,57894.74
143,house,Querétaro,20.7037,-100.462857,220,168421.05
144,house,Chihuahua,28.64073,-106.109581,300,197368.42
145,apartment,Distrito Federal,19.305233,-99.12269,75,47631.58
146,apartment,Estado de México,19.379597,-99.293808,80,166863.16
147,house,Estado de México,19.26183971,-99.58393506,195,136842.11
148,apartment,Distrito Federal,19.2753576,-99.1675547,101,173421.05
149,house,Durango,25.553129,-103.510059,187,42105.26
150,apartment,Morelos,18.93409,-99.254997,130,94736.84
151,house,Distrito Federal,19.346687,-99.011513,115,89210.53
152,house,Guerrero,16.838398,-99.897744,113,97368.42
153,house,Estado de México,19.482168,-99.264038,140,34021.74
154,house,Sinaloa,24.8427771,-107.3931108,117,47368.42
155,house,Quintana Roo,21.101317,-86.862888,182,134210.53
156,house,Quintana Roo,21.164147,-86.868479,330,197982.11
157,apartment,Nuevo León,25.647146,-100.356804,100,200000
158,house,Nuevo León,25.64423457,-100.2966356,228,142105.26
159,house,Sonora,29.0904798,-110.9747137,298,184210.53
160,house,Baja California Sur,24.15963233,-110.3057599,96,65789.47
161,house,Jalisco,20.784784,-103.471496,79,41052.63
162,house,Tamaulipas,22.2465535,-97.8721436,109,78947.37
163,house,Estado de México,19.569101,-99.303513,180,251578.95
164,house,Yucatán,21.039522,-89.563911,214,117894.74
165,house,Querétaro,20.555649,-100.38488,325,206315.79
166,apartment,Distrito Federal,19.405298,-99.164986,74,225263.16
167,apartment,Distrito Federal,19.258038,-99.161589,160,147368.42
168,house,Morelos,18.823669,-99.227295,165,86842.11
169,apartment,Distrito Federal,19.377171,-99.188503,75,106736.84
170,house,Yucatán,21.017197,-89.574516,206,113710.53
171,house,Morelos,18.892714,-99.1996,90,57894.74
172,house,Estado de México,19.636706,-99.101569,250,131578.95
173,house,Yucatán,21.039522,-89.563911,274,152368.42
174,house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,235,165789.47
175,house,Yucatán,21.07671918,-89.62775633,155,67894.74
176,apartment,Distrito Federal,19.401509,-99.154034,90,116403.58
177,house,Tabasco,18.072582,-93.165413,350,66315.79
178,house,Yucatán,21.072905,-89.65963,190,97368.42
179,house,Tamaulipas,22.247913,-97.875565,263,127368.42
180,house,San Luis Potosí,22.148722,-101.00119,190,115789.47
181,house,Baja California,32.494743,-117.016784,92,51578.95
182,house,San Luis Potosí,22.18978923,-100.9525537,138,50000
183,house,Puebla,18.96295456,-98.27967882,222,151578.95
184,house,Morelos,18.8859084,-99.19064,110,86842.11
185,house,Chihuahua,28.643902,-106.130157,355,260526.32
186,apartment,Distrito Federal,19.347683,-99.165877,135,236842.11
187,apartment,Distrito Federal,19.375374,-99.137657,110,77894.74
188,house,Distrito Federal,19.52395,-99.152881,95,147631.58
189,house,Guerrero,16.757619,-99.767532,140,144736.84
190,house,Yucatán,21.075163,-89.516731,197,91052.63
191,house,Puebla,19.02038,-98.207626,380,205263.16
192,house,Aguascalientes,21.9243493,-102.2833909,140,35789.47
193,house,Quintana Roo,21.1351429,-86.837489,80,44736.84
194,apartment,Distrito Federal,19.39365,-99.14769,75,157489.47
195,house,Nuevo León,25.733049,-100.22847,200,69473.68
196,house,Baja California Sur,24.141701,-110.347267,275,184210.53
197,house,Jalisco,20.579091,-103.430379,164,86842.11
198,house,Nuevo León,25.731798,-100.349091,180,74234.37
199,house,Estado de México,19.672207,-99.015656,122,139473.68
200,apartment,Estado de México,19.401066,-99.277168,190,305263.16
201,house,Yucatán,21.00227,-89.5650908,131,69578.95
202,house,Quintana Roo,20.680066,-87.038345,208,176842.11
203,apartment,Guerrero,16.86483064,-99.87526059,61,44736.84
204,house,Jalisco,20.760167,-103.379168,83,44736.84
205,house,Yucatán,21.02838037,-89.56463993,174,35526.32
206,house,Tlaxcala,19.341597,-98.215828,180,168421.05
207,house,Veracruz de Ignacio de la Llave,25.596904,-103.4203,118,44736.84
208,house,Chiapas,19.665554,-101.235738,115,77631.58
209,house,Estado de México,19.650003,-99.220367,245,100000
210,house,Nuevo León,25.7708161,-100.4340179,100,60526.32
211,house,Tamaulipas,22.2331041,-97.861099,130,92105.26
212,house,Nuevo León,25.723276,-100.401518,278,240526.32
213,house,Puebla,19.044477,-98.328011,260,236842.11
214,house,Estado de México,19.562922,-99.254974,120,45789.47
215,apartment,Nuevo León,25.580088,-100.239685,130,104210.53
216,house,Puebla,19.055344,-98.212046,146,76315.79
217,house,Morelos,23.634501,-102.552788,290,221052.63
218,apartment,Distrito Federal,19.34189,-99.166374,80,97678.95
219,house,Estado de México,19.404718,-99.263313,139,252631.58
220,house,Querétaro,20.675023,-100.457086,304,273684.21
221,house,Estado de México,19.532259,-99.23214,220,204000
222,house,Tamaulipas,22.313122,-97.858559,193,50000
223,house,Tamaulipas,22.29275303,-97.89062485,88,60526.32
224,house,Morelos,18.864874,-98.925911,130,86842.11
225,house,Querétaro,20.726007,-100.442642,290,199473.68
226,house,Nayarit,20.7204378,-105.2706825,152,65789.47
227,house,Veracruz de Ignacio de la Llave,19.1368849,-96.1093008,130,57894.74
228,apartment,Estado de México,19.291351,-99.668945,85,48000
229,apartment,Morelos,18.9242095,-99.2215659,80,39473.68
230,apartment,Quintana Roo,21.152496,-86.869834,99,147368.42
231,house,Puebla,19.027103,-98.270025,166,83157.89
232,house,Nuevo León,25.56551,-100.223213,350,223684.21
233,house,Morelos,18.813505,-98.953514,140,63157.89
234,house,Yucatán,21.039522,-89.563911,253,120263.16
235,house,Morelos,18.804409,-98.959038,230,65789.47
236,house,Nuevo León,25.584658,-100.257912,350,262631.58
237,house,Estado de México,19.225745,-99.567856,270,207894.74
238,house,Jalisco,20.763189,-103.389053,95,81578.95
239,house,Distrito Federal,19.383512,-99.084804,115,94210.53
240,house,Jalisco,20.6460186,-105.2267944,160,126315.79
241,apartment,Distrito Federal,19.367025,-99.170349,85,165789.47
242,house,Querétaro,20.604974,-100.409786,110,52105.26
243,house,Aguascalientes,21.93248,-102.297005,305,192105.26
244,house,San Luis Potosí,22.133745,-101.016029,126,113105.26
245,apartment,Puebla,19.054064,-98.245911,87,46973.68
246,house,Puebla,19.0303511,-98.3143192,122,113684.21
247,house,Morelos,18.947784,-99.201675,300,242105.26
248,apartment,Distrito Federal,19.3418937,-99.2245237,145,244736.84
249,house,Veracruz de Ignacio de la Llave,20.963127,-97.385071,200,184210.53
250,house,Estado de México,19.550089,-99.214828,87,51000
251,house,Tamaulipas,22.307415,-97.859846,61,33684.21
252,house,Morelos,18.8879389,-99.0247871,76,68421.05
253,house,Yucatán,21.030668,-89.599258,144,86789.47
254,apartment,Veracruz de Ignacio de la Llave,19.10283721,-96.11123085,160,92105.26
255,house,Distrito Federal,19.353592,-99.177275,360,230842.11
256,house,Yucatán,21.01144518,-89.57977295,222,113157.89
257,house,Estado de México,19.263756,-99.540924,134,92105.26
258,house,Estado de México,19.415097,-98.918523,85,49473.68
